STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
AK,161,132,112,45,8,0,0,0,9,67,134,177
AL,2,0,2,0,0,0,0,0,0,0,0,0
AR,14,11,4,0,0,0,0,0,0,0,0,4
AS,0,0,0,0,0,0,0,0,0,0,0,0
AZ,23,21,16,6,0,0,0,0,0,1,8,17
CA,29,28,25,10,1,0,0,0,0,1,11,26
CO,105,99,121,88,22,1,0,0,6,39,93,111
CT,114,99,70,15,0,0,0,0,0,0,13,79
DE,43,53,11,1,0,0,0,0,0,0,2,18
FL,0,0,0,0,0,0,0,0,0,0,0,0
FM,0,0,0,0,0,0,0,0,0,0,0,0
GA,3,1,1,0,0,0,0,0,0,0,0,0
GU,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,0,0,0,0,0,0,0,0,0,0,0
IA,71,65,45,14,0,0,0,0,0,2,24,78
ID,131,81,49,21,3,0,0,0,0,8,66,142
IL,61,48,21,3,0,0,0,0,0,0,6,52
IN,66,52,23,3,0,0,0,0,0,1,6,52
KS,42,36,24,6,0,0,0,0,0,2,11,38
KY,30,30,9,1,0,0,0,0,0,0,0,16
LA,0,0,0,0,0,0,0,0,0,0,0,0
MA,143,114,90,24,0,0,0,0,0,0,21,106
MD,84,71,35,6,0,0,0,0,0,0,12,43
ME,206,172,157,48,0,0,0,0,0,5,44,173
MH,0,0,0,0,0,0,0,0,0,0,0,0
MI,215,149,96,31,1,0,0,0,0,7,66,196
MN,98,75,80,30,0,0,0,0,0,7,71,100
MO,36,34,15,1,0,0,0,0,0,0,4,32
MP,0,0,0,0,0,0,0,0,0,0,0,0
MS,3,1,0,0,0,0,0,0,0,0,0,1
MT,88,71,82,53,17,1,0,0,5,27,65,95
NC,21,15,8,3,0,0,0,0,0,0,1,9
ND,77,56,63,32,5,0,0,0,1,18,62,72
NE,53,56,52,24,0,0,0,0,1,10,35,55
NH,195,162,141,48,3,0,0,0,0,8,48,173
NJ,68,71,35,9,0,0,0,0,0,0,4,41
NM,49,41,34,15,1,0,0,0,0,7,23,52
NV,46,35,26,16,4,0,0,0,0,4,21,41
NY,210,160,125,31,1,0,0,0,0,4,56,176
OH,81,60,39,8,0,0,0,0,0,1,10,53
OK,21,12,10,0,0,0,0,0,0,0,3,15
OR,49,40,23,11,2,0,0,0,0,2,27,58
PA,127,103,70,15,0,0,0,0,0,1,24,88
PR,0,0,0,0,0,0,0,0,0,0,0,0
PW,0,0,0,0,0,0,0,0,0,0,0,0
RI,100,91,64,12,0,0,0,0,0,0,11,84
SC,5,2,1,0,0,0,0,0,0,0,0,1
SD,59,68,79,52,3,0,0,0,1,14,61,68
TN,17,17,5,1,0,0,0,0,0,0,0,7
TX,5,3,2,0,0,0,0,0,0,0,1,5
UM,0,0,0,0,0,0,0,0,0,0,0,0
UT,111,95,70,39,9,1,0,0,1,16,63,110
VA,48,45,18,3,0,0,0,0,0,0,3,29
VI,0,0,0,0,0,0,0,0,0,0,0,0
VT,217,183,164,50,2,0,0,0,0,9,67,202
WA,76,45,24,9,2,0,0,0,0,3,38,88
WI,121,93,80,26,1,0,0,0,0,5,45,120
WV,123,95,62,17,0,0,0,0,0,2,19,77
WY,88,83,90,69,18,1,0,0,7,38,80,99
